country_code,year,age,mxM,mxF,mxB
404,1990,0,0.07647303,0.06450576,0.07051023
404,1990,1,0.01657143,0.01558143,0.01607735
404,1990,2,0.01019162,0.00947593,0.00983433
404,1990,3,0.00691753,0.00637551,0.00664689
404,1990,4,0.004813,0.00442292,0.00461818
404,1990,5,0.00359251,0.00329286,0.00344284
404,1990,6,0.00295167,0.00268148,0.00281674
404,1990,7,0.00249657,0.00226236,0.00237964
404,1990,8,0.0021793,0.00197392,0.00207677
404,1990,9,0.00196935,0.00179159,0.00188061
404,1990,10,0.00183661,0.00169363,0.00176523
404,1990,11,0.00176095,0.00164956,0.00170533
404,1990,12,0.00177253,0.0016681,0.00172038
404,1990,13,0.00184046,0.0017331,0.00178685
404,1990,14,0.00197094,0.00185359,0.00191234
404,1990,15,0.00214579,0.00201249,0.00207921
404,1990,16,0.00238988,0.0021999,0.00229499
404,1990,17,0.00267659,0.00238066,0.0025288
404,1990,18,0.00296833,0.00258703,0.00277787
404,1990,19,0.00326678,0.00277339,0.00302026
404,1990,20,0.00356499,0.00297045,0.00326783
404,1990,21,0.00383028,0.00315419,0.00349222
404,1990,22,0.00405927,0.0033537,0.00370634
404,1990,23,0.00423752,0.00354258,0.00388979
404,1990,24,0.00438888,0.00373291,0.00406053
404,1990,25,0.00451877,0.00392715,0.00422251
404,1990,26,0.00464539,0.00411187,0.00437809
404,1990,27,0.00478743,0.00428841,0.00453732
404,1990,28,0.00494994,0.00447516,0.00471192
404,1990,29,0.00511752,0.00462941,0.00487274
404,1990,30,0.00535902,0.00484352,0.00510041
404,1990,31,0.00552087,0.00496897,0.0052439
404,1990,32,0.00582395,0.00520913,0.00551525
404,1990,33,0.00608727,0.00541349,0.00574874
404,1990,34,0.00637143,0.00563967,0.00600348
404,1990,35,0.00672047,0.00588225,0.00629854
404,1990,36,0.0070365,0.00612122,0.00657519
404,1990,37,0.00736537,0.00634653,0.00685122
404,1990,38,0.00774453,0.00664264,0.0071877
404,1990,39,0.00808504,0.00686834,0.00746922
404,1990,40,0.0085623,0.00719721,0.00789942
404,1990,41,0.00882892,0.00734245,0.00813206
404,1990,42,0.00936581,0.00769641,0.00857583
404,1990,43,0.00973292,0.00789521,0.00884534
404,1990,44,0.01022211,0.00817083,0.00920254
404,1990,45,0.01080781,0.00851006,0.0096333
404,1990,46,0.01128576,0.00881623,0.00998923
404,1990,47,0.01191879,0.00918809,0.01044555
404,1990,48,0.01268351,0.00972122,0.01103921
404,1990,49,0.01343465,0.01023813,0.01161423
404,1990,50,0.01443136,0.0109824,0.01242902
404,1990,51,0.0150602,0.0114192,0.01291942
404,1990,52,0.01613724,0.01223968,0.01383268
404,1990,53,0.01697528,0.01284103,0.01453313
404,1990,54,0.01794455,0.01358833,0.01538136
404,1990,55,0.01892719,0.01433411,0.01623793
404,1990,56,0.02003147,0.01520499,0.01722009
404,1990,57,0.02119981,0.01609687,0.01824662
404,1990,58,0.02276609,0.01735842,0.0196656
404,1990,59,0.02438091,0.0186401,0.02111826
404,1990,60,0.02665367,0.02054882,0.02320747
404,1990,61,0.02827351,0.0218174,0.02465725
404,1990,62,0.0308818,0.02402433,0.02708561
404,1990,63,0.03327086,0.02606919,0.02934687
404,1990,64,0.03587877,0.02836391,0.03183677
404,1990,65,0.03877768,0.03097059,0.03460001
404,1990,66,0.04111523,0.03301604,0.0367822
404,1990,67,0.0440573,0.03554788,0.03950953
404,1990,68,0.04740221,0.03855944,0.04270308
404,1990,69,0.05083168,0.04151929,0.04590931
404,1990,70,0.05569207,0.04605499,0.05060768
404,1990,71,0.05908897,0.04880732,0.05368244
404,1990,72,0.06486934,0.05391397,0.05914788
404,1990,73,0.06994836,0.05824529,0.0638867
404,1990,74,0.07572775,0.06323842,0.06929308
404,1990,75,0.08202748,0.06874055,0.07518645
404,1990,76,0.08842969,0.07396797,0.08097077
404,1990,77,0.0952386,0.07954716,0.0871087
404,1990,78,0.10370821,0.08684534,0.09491654
404,1990,79,0.11151089,0.09305984,0.1018516
404,1990,80,0.12154553,0.10179554,0.11117072
404,1990,81,0.13019445,0.10852613,0.11874935
404,1990,82,0.14387002,0.12122486,0.13188098
404,1990,83,0.15639689,0.1324755,0.14377043
404,1990,84,0.17108131,0.14576912,0.15771209
404,1990,85,0.18429984,0.15837529,0.17046986
404,1990,86,0.19959001,0.17201346,0.18468422
404,1990,87,0.21470674,0.18553485,0.19874176
404,1990,88,0.23130609,0.20086827,0.2143987
404,1990,89,0.24747994,0.21537342,0.22934328
404,1990,90,0.26745969,0.23600281,0.24940664
404,1990,91,0.28246177,0.24819447,0.26249003
404,1990,92,0.30446492,0.26974094,0.28410058
404,1990,93,0.32486423,0.28910567,0.3040011
404,1990,94,0.34680049,0.31050013,0.32561665
404,1990,95,0.37070103,0.3339315,0.34896972
404,1990,96,0.39258996,0.35555265,0.37009566
404,1990,97,0.41387131,0.37674997,0.39021407
404,1990,98,0.43446202,0.39743309,0.4088534
404,1990,99,0.4606374,0.42437313,0.43374725
404,1990,100,0.51490778,0.4831222,0.48952746
404,1991,0,0.07788576,0.06558527,0.07175885
404,1991,1,0.0170632,0.01600169,0.01653348
404,1991,2,0.01052001,0.00974488,0.010133
404,1991,3,0.00713677,0.00654934,0.00684341
404,1991,4,0.00496401,0.00453684,0.00475066
404,1991,5,0.0036993,0.00337393,0.00353677
404,1991,6,0.00303953,0.00274802,0.0028939
404,1991,7,0.00257121,0.00232112,0.00244631
404,1991,8,0.00224417,0.00202693,0.0021357
404,1991,9,0.00202717,0.0018416,0.00193452
404,1991,10,0.00189088,0.00174188,0.00181649
404,1991,11,0.00181405,0.00169687,0.00175555
404,1991,12,0.00182605,0.00171722,0.0017717
404,1991,13,0.0018956,0.00178606,0.0018409
404,1991,14,0.00202978,0.00191217,0.00197105
404,1991,15,0.00221006,0.00207883,0.00214453
404,1991,16,0.00245905,0.00227338,0.00236631
404,1991,17,0.0027553,0.00246438,0.00260999
404,1991,18,0.00305613,0.00268236,0.00286944
404,1991,19,0.00336588,0.00288073,0.0031235
404,1991,20,0.00367815,0.0030917,0.00338506
404,1991,21,0.00395759,0.00328748,0.00362256
404,1991,22,0.00420103,0.00350261,0.0038517
404,1991,23,0.00439257,0.00370658,0.00404933
404,1991,24,0.00455652,0.00391198,0.00423391
404,1991,25,0.00469924,0.00412219,0.00441032
404,1991,26,0.00483689,0.00432213,0.00457905
404,1991,27,0.00499157,0.00451285,0.00475167
404,1991,28,0.00516603,0.00471191,0.00493837
404,1991,29,0.005345,0.00487803,0.00511084
404,1991,30,0.00560151,0.00510355,0.00535173
404,1991,31,0.00577368,0.0052377,0.00550472
404,1991,32,0.00609189,0.00549005,0.00578977
404,1991,33,0.00636928,0.00570479,0.00603553
404,1991,34,0.00666844,0.00594253,0.00630359
404,1991,35,0.007034,0.00619763,0.00661327
404,1991,36,0.00736395,0.00644603,0.00690169
404,1991,37,0.00770654,0.00668028,0.00718903
404,1991,38,0.00809788,0.0069847,0.00753581
404,1991,39,0.00844889,0.00721641,0.00782568
404,1991,40,0.00894055,0.00755224,0.00823739
404,1991,41,0.00921188,0.00770071,0.00847752
404,1991,42,0.00975959,0.00805752,0.008961
404,1991,43,0.01013336,0.00825936,0.00924574
404,1991,44,0.0106321,0.00853975,0.00962048
404,1991,45,0.01122841,0.00888508,0.01006235
404,1991,46,0.01171336,0.00919717,0.01042559
404,1991,47,0.01235597,0.00957587,0.01089444
404,1991,48,0.01313313,0.01011914,0.01150473
404,1991,49,0.01389361,0.01064681,0.01208866
404,1991,50,0.01490646,0.0114032,0.01290821
404,1991,51,0.01553849,0.01184978,0.01339346
404,1991,52,0.01662527,0.01268002,0.01430165
404,1991,53,0.01746666,0.01329106,0.0149933
404,1991,54,0.01844121,0.01404904,0.01584187
404,1991,55,0.01943255,0.0148077,0.01670596
404,1991,56,0.02053963,0.01569088,0.01769481
404,1991,57,0.02171608,0.01659777,0.01872822
404,1991,58,0.02329587,0.01787675,0.02015244
404,1991,59,0.02492843,0.01918056,0.02162474
404,1991,60,0.02723342,0.02111115,0.02374479
404,1991,61,0.02886984,0.02240939,0.02521262
404,1991,62,0.03150385,0.02464321,0.02764943
404,1991,63,0.03391471,0.0267227,0.02992052
404,1991,64,0.03654597,0.0290546,0.03245016
404,1991,65,0.0394668,0.03170187,0.03527522
404,1991,66,0.04177312,0.03372693,0.03745133
404,1991,67,0.04467311,0.03622833,0.04013752
404,1991,68,0.04797369,0.03920221,0.04326671
404,1991,69,0.05135623,0.04212307,0.04642854
404,1991,70,0.05617136,0.04659452,0.05108641
404,1991,71,0.05950794,0.04929649,0.05409495
404,1991,72,0.0652157,0.05431722,0.05945573
404,1991,73,0.07021506,0.05856168,0.06409594
